state_abbr,county_name,equity_need_score,rpl_themes,burden_rank,total_population
LA,Madison,0.9888324873096447,1.0000,0.9720812182741118,9246
LA,Concordia,0.9832005752961084,0.9949,0.9656514382402708,17688
LA,Evangeline,0.9781309644670051,0.9990,0.9468274111675127,31754
LA,Bienville,0.9755707275803722,0.9755,0.9756768189509305,12366
LA,Washington,0.9648191539763114,0.9822,0.9387478849407783,44865
TX,"San Augustine",0.9631338409475465,0.9885,0.9250846023688662,7833
LA,Avoyelles,0.9628996954314721,0.9682,0.9549492385786802,38408
LA,Morehouse,0.9560857529610829,0.9558,0.9565143824027074,23955
AR,Desha,0.9555152961082911,0.9749,0.9264382402707276,10479
TN,Lake,0.9535087986463622,0.9345,0.9820219966159053,6347
NC,Robeson,0.952880744500846,0.9962,0.887901861252115,117365
MO,Dunklin,0.9516924196277496,0.9707,0.9231810490693739,27032
NC,Scotland,0.9503318781725889,0.9959,0.8819796954314721,34376
AL,Wilcox,0.9485985448392555,0.9819,0.8986463620981386,9944
OK,Adair,0.9453081556683588,0.9472,0.9424703891708968,19627
AR,Chicot,0.945209847715736,0.9987,0.86497461928934,9538
GA,Randolph,0.9451704230118443,0.9882,0.8806260575296108,6078
OK,Seminole,0.9448825380710659,0.9523,0.9337563451776648,23565
SD,Buffalo,0.9438922504230118,0.9892,0.8759306260575296,1884
AR,Phillips,0.9437036886632826,0.9628,0.9150592216582065,14961
